latitude;longitude;weekly_traversals
38.75293059899913;-9.189454937075867;85
38.752767279034344;-9.189357200425254;90
38.752603959041636;-9.189259464253889;175
38.75230872105501;-9.189512510169472;930
38.75185016198603;-9.189667818217762;553
38.75140730102983;-9.190047381463406;309
38.751275378561814;-9.19039815888489;665
38.750995832494105;-9.190875455040393;530
38.75068489047461;-9.19090423549178;373
38.75024202122951;-9.191283788950596;484
38.75007870180801;-9.191186050647781;651
38.74962013483099;-9.191341345907803;517
38.749456815428644;-9.191243608237107;1015
38.74947251061297;-9.19146786187871;170
38.74950389976477;-9.191916370436605;230
38.749535287294044;-9.192364880694056;474
38.74971429946046;-9.192686877984904;306
38.74974568442522;-9.193135392076302;160
38.74977706776742;-9.193583907867119;403
38.74982413973835;-9.19425668473971;691
38.75000314804328;-9.19457869168976;205
38.75003452638688;-9.195027213863314;506
38.7500659031078;-9.195475737736126;614
38.750260596244935;-9.196022014784312;544
38.750291969589654;-9.196470543340189;475
38.75047097346815;-9.196792562137757;569
38.75048665906087;-9.197016828119986;743
38.75050234424789;-9.197241094526973;714
38.75068134661963;-9.197563117647514;601
38.750976612140846;-9.197310094570101;205
38.75145087976904;-9.197379095497435;230
38.75130324738766;-9.19750560793326;308
38.75135030074996;-9.19817841806376;85
38.7513816676296;-9.198626960274513;145
38.75156066764953;-9.198948993271637;90
38.75172398481023;-9.199046755005591;100
38.752019253503185;-9.198793731712371;75
38.75233020464057;-9.198764981218865;110
38.695088271105135;-9.205970600560912;5033
38.69507264159392;-9.205746481193755;1685
38.69505701167766;-9.205522362250532;1225
38.69520469631509;-9.205395951143863;979
38.695189065653906;-9.20517183240711;1371
38.695173434587694;-9.204947714094324;1090
38.69532111824351;-9.20482130217261;759
38.695305486432375;-9.204597184066326;1733
38.69543753689041;-9.204246653647257;1145
38.69540627056321;-9.203798419119675;1282
38.6953906367921;-9.203574302491845;812
38.695522683628695;-9.203223772301456;1117
38.69550704870765;-9.20299965630421;977
38.69565472907865;-9.202873241720116;635
38.695639093412666;-9.202649125929474;1093
38.695623457341675;-9.202425010562854;1053
38.695607820865696;-9.202200895620246;465
38.69575549991511;-9.202074480003834;1089
38.695739862694204;-9.201850365267873;1071
38.69572422506829;-9.201626250955963;576
38.69585626476522;-9.201275720419401;1586
38.69598830307547;-9.200925189492043;1944
38.69597266355474;-9.200701076017555;2063
38.695957023629006;-9.200476962967128;1443
38.6959413832983;-9.200252850340778;302
38.69608905906274;-9.200126432062431;2181
38.696221093109784;-9.199775900767007;1933
38.69620545128925;-9.199551788554155;2810
38.69635312577013;-9.199425369080872;1937
38.696189809063725;-9.19932767676541;1264
38.69633748320467;-9.199201257074801;2913
38.69632184023424;-9.198977145492849;6375
38.69630619685882;-9.198753034335;1620
38.69643822589773;-9.198402502878618;1398
38.69642258137243;-9.198178392351714;1413
38.69639129110695;-9.19773017257035;694
38.69637564536675;-9.197506063315888;376
38.696523316524406;-9.197379641343927;1711
38.69650767003931;-9.197155532296344;1789
38.696492023149254;-9.19693142367292;2112
38.69647637585425;-9.196707315473676;1600
38.69646072815428;-9.196483207698611;1197
38.69644508004938;-9.196259100347712;443
38.696561451100855;-9.195684463045577;1769
38.69653015137651;-9.19523625087868;1196
38.69666216806133;-9.194885720526822;3604
38.69664651684687;-9.19466161528669;2237
38.696630865227455;-9.194437510470795;1952
38.696615213203124;-9.194213406079138;1611
38.69659956077386;-9.193989302111717;1092
38.69673157309239;-9.193638772197637;1979
38.69671591951332;-9.193414668861525;1719
38.69684792970024;-9.193064138764269;1983
38.696832274971364;-9.192840036059497;2034
38.69680096429885;-9.192391831922825;706
38.69694862714797;-9.192265403705782;1768
38.69706497604314;-9.191690771800479;1123
38.697033660771474;-9.191242570189551;1607
38.69716566307375;-9.190892039957578;1672
38.697134344692714;-9.190443840458332;1412
38.6972820042563;-9.190317409580981;1860
38.69726634411846;-9.190093310250752;2416
38.697414003040144;-9.189966878776199;75
38.697250683575724;-9.18986921134488;1880
38.697398342157435;-9.189742779653203;902
38.6972350226281;-9.18964511286336;710
38.69738268086983;-9.189518680954569;1679
38.697367019177335;-9.189294582680306;1895
38.69735135707995;-9.189070484830422;1050
38.6974990143398;-9.18894405210734;1850
38.697483351497546;-9.188719954464739;2408
38.69746768825042;-9.188495857246537;1292
38.69759968053635;-9.188145326698296;2215
38.69758401613948;-9.187921230111819;2029
38.697731671435484;-9.187794795760242;2517
38.69771600629376;-9.187570699381094;2990
38.69770034074715;-9.187346603426379;2402
38.69766900843929;-9.18689841279026;492
38.6978166620734;-9.186771977190334;1878
38.697785327466114;-9.186323787817885;1069
